time	close	high	low	open	volumeto	volumefrom
1524800460	655.66	655.82	655.66	655.81	177.46	116299.74
1524800520	655.59	655.68	655.59	655.66	469.95	308060.17
1524800580	654.16	655.68	654.16	655.59	1232.57	807155.53
1524800640	651.34	654.34	650.57	654.34	4088.69	2663640.39
1524800700	653.07	653.5	650.77	650.77	431.83	281933.62
1524800760	653.12	653.16	652.36	653.07	631.17	411927.89
1524800820	653.24	653.29	653	653.01	290.1	189358
1524800880	653.31	653.34	653.18	653.28	180.22	117768.82
1524800940	653.11	653.31	652.88	653.31	176.68	115420.34
1524801000	653.96	654.02	653.11	653.11	306.38	200248.44
1524801060	654.07	654.07	653.96	653.97	68.24	44583.81
1524801120	653.81	654.21	653.57	654.07	175.54	114808.18
1524801180	653.65	653.84	653.59	653.84	62.94	41157.11
1524801240	653.57	653.65	653.39	653.65	93.06	60822.01
1524801300	651.95	653.6	651.95	653.57	342.81	223666.74
1524801360	651.84	652.34	651.81	651.95	223.31	145671.55
1524801420	650.25	651.97	650.22	651.97	1109.54	721968.76
1524801480	649.66	650.59	649.61	650.53	1239.54	805567.77
1524801540	649.51	649.74	649.47	649.66	283.83	184261.65
1524801600	649.57	649.67	649.46	649.51	260.54	169294.7
1524801660	649	649.57	648.95	649.57	435.07	282478.97
1524801720	647.58	649.13	647.28	649.01	1411.24	913828.19
1524801780	647.34	647.59	646.71	647.58	906.05	585955.98
1524801840	647.44	647.53	647.16	647.27	643.81	416340.96
1524801900	649.66	649.66	647.43	647.44	1191.36	772146.69
1524801960	650.83	650.83	649.49	649.49	1285.89	835850.96
1524802020	651.5	651.5	650.82	650.83	681.13	443533.04
1524802080	652.53	652.94	651.48	651.5	2074.82	1352923.75
1524802140	651.03	652.19	649.94	652.19	1278.6	831991.38
1524802200	651.96	652.15	651.07	651.07	664.13	433150.73
1524802260	651.85	651.96	651.72	651.72	106.42	69423.35
1524802320	651.7	651.84	651.7	651.84	210.2	137078.71
1524802380	651.54	651.78	651.54	651.72	164.27	107005.8
1524802440	650.23	651.54	650.23	651.54	207.32	134595.86
1524802500	650.04	650.22	650.03	650.21	60.02	39006.64
1524802560	650.11	650.15	650.04	650.04	93.98	61114.74
1524802620	651.06	651.06	650.03	650.11	380.67	247428.26
1524802680	651.25	651.49	651.01	651.01	238.22	155084.6
1524802740	651.98	652	651.19	651.25	494.4	322073.7
1524802800	651.93	652.11	651.89	652.02	57.65	37539.72
1524802860	651.44	651.93	651.37	651.93	163.84	106812.27
1524802920	651.68	651.83	651.17	651.43	173.72	113248.82
1524802980	652.42	652.45	651.68	651.75	124.95	81471.02
1524803040	652.54	652.54	652.42	652.42	35.72	23332.98
1524803100	652.67	652.67	652.46	652.54	81.12	52892.99
1524803160	653.41	653.46	652.53	652.53	511.75	334065.14
1524803220	652.84	653.51	652.49	653.41	482.75	315562.84
1524803280	653.44	653.46	652.91	652.91	82.05	53592.18
1524803340	653.66	653.84	653.4	653.44	238.91	156127.97
1524803400	653.76	653.76	653.57	653.66	108.63	71030.55
1524803460	653.25	653.86	653.24	653.76	376.06	245663.73
1524803520	652.6	653.32	652.53	653.25	218.29	142504.95
1524803580	652.86	652.86	652.54	652.78	59.36	38769.48
1524803640	652.77	652.99	652.71	652.88	86.67	56589.24
1524803700	653.01	653.08	652.74	652.77	31.77	20740.24
1524803760	652.8	652.94	652.8	652.88	32.51	21224.74
1524803820	652.96	652.96	652.76	652.8	43.41	28335.9
1524803880	653.19	653.21	652.89	652.96	92.18	60190.15
1524803940	653.23	653.29	653.19	653.19	53.42	34915.14
1524804000	654.32	654.36	653.23	653.23	743.82	486319.56
1524804060	654.44	654.44	654.32	654.32	141.91	92828.35
1524804120	654.46	654.48	654.42	654.44	164.29	107605.62
1524804180	655.15	655.15	654.46	654.46	615.8	403414.85
1524804240	655.21	655.32	655.08	655.15	214.93	140468.87
1524804300	654.32	655.43	654.16	655.21	1071.34	700919.96
1524804360	654.81	654.99	654.21	654.33	814.33	533225.01
1524804420	654.64	655.06	654.52	654.81	301.3	197462.54
1524804480	655.96	656.05	654.63	654.64	667.3	437076.68
1524804540	656.64	656.64	655.37	655.96	437.57	287318.21
1524804600	655.77	656.66	655.7	656.64	435.03	285530.32
1524804660	656.06	656.06	655.07	655.77	260.12	170530.27
